Name=traffic_small.txt
StartTime=11:02:18
EndTime=11:49:14
*******************

TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 101.53, Y: -301.13, Vx: 313, Vy: -205, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:04:50
TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 49.80, Y: 31.06, Vx: 428, Vy: 250, Afl: 240, Rate: 0, Heading: 60, GroundSpeed: 496, Tendency: 0, Time: 11:04:58
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 102.23, Y: -301.59, Vx: 313, Vy: -205, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:04:58
TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 50.75, Y: 31.63, Vx: 428, Vy: 250, Afl: 240, Rate: 0, Heading: 60, GroundSpeed: 496, Tendency: 0, Time: 11:05:06
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 102.92, Y: -302.05, Vx: 313, Vy: -205, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:05:06
TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 51.69, Y: 32.17, Vx: 428, Vy: 250, Afl: 240, Rate: 0, Heading: 60, GroundSpeed: 496, Tendency: 0, Time: 11:05:14
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 103.63, Y: -302.50, Vx: 313, Vy: -205, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:05:14
TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 52.64, Y: 32.73, Vx: 428, Vy: 250, Afl: 240, Rate: 0, Heading: 60, GroundSpeed: 496, Tendency: 0, Time: 11:05:22
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 104.33, Y: -302.95, Vx: 313, Vy: -205, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:05:22
TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 53.59, Y: 33.30, Vx: 428, Vy: 250, Afl: 240, Rate: 0, Heading: 60, GroundSpeed: 496, Tendency: 0, Time: 11:05:30
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 105.02, Y: -303.41, Vx: 313, Vy: -205, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:05:30
TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 54.55, Y: 33.84, Vx: 428, Vy: 250, Afl: 240, Rate: 0, Heading: 60, GroundSpeed: 496, Tendency: 0, Time: 11:05:38
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 105.72, Y: -303.86, Vx: 313, Vy: -205, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:05:38
TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 55.50, Y: 34.41, Vx: 428, Vy: 250, Afl: 240, Rate: 0, Heading: 60, GroundSpeed: 496, Tendency: 0, Time: 11:05:46
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 106.41, Y: -304.33, Vx: 313, Vy: -205, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:05:46
TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 56.45, Y: 34.95, Vx: 428, Vy: 250, Afl: 240, Rate: 0, Heading: 60, GroundSpeed: 496, Tendency: 0, Time: 11:05:54
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 107.11, Y: -304.78, Vx: 313, Vy: -204, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:05:54
TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 57.41, Y: 35.52, Vx: 428, Vy: 250, Afl: 240, Rate: 0, Heading: 60, GroundSpeed: 496, Tendency: 0, Time: 11:06:02
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 107.80, Y: -305.23, Vx: 313, Vy: -204, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:06:02
TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 58.34, Y: 36.06, Vx: 428, Vy: 250, Afl: 240, Rate: 0, Heading: 60, GroundSpeed: 496, Tendency: 0, Time: 11:06:10
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 108.50, Y: -305.69, Vx: 313, Vy: -204, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:06:10
TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 59.30, Y: 36.63, Vx: 428, Vy: 250, Afl: 240, Rate: 0, Heading: 60, GroundSpeed: 496, Tendency: 0, Time: 11:06:18
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 109.19, Y: -306.14, Vx: 313, Vy: -204, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:06:18
TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 60.25, Y: 37.17, Vx: 428, Vy: 250, Afl: 240, Rate: 0, Heading: 60, GroundSpeed: 496, Tendency: 0, Time: 11:06:26
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 109.89, Y: -306.59, Vx: 313, Vy: -205, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:06:26
TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 61.20, Y: 37.73, Vx: 428, Vy: 250, Afl: 240, Rate: 0, Heading: 60, GroundSpeed: 496, Tendency: 0, Time: 11:06:34
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 110.58, Y: -307.05, Vx: 313, Vy: -205, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:06:34
